               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.025574,           0.0089534,                   0,             0.91843,             0.93333,             0.95379,             0.63252,            0.026552,           0.0047837,                   0,            0.002146,            0.002146,            0.002146
                 121,             0.02296,           0.0072299,                   0,              0.9187,             0.93333,              0.9547,              0.6405,            0.025892,           0.0047642,                   0,             0.00208,             0.00208,             0.00208
                 122,             0.02328,           0.0076844,                   0,              0.9187,             0.93333,              0.9547,              0.6405,            0.025892,           0.0047642,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.024312,           0.0068901,                   0,             0.91949,             0.93333,             0.95379,             0.60866,             0.02782,           0.0046883,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.022758,            0.007274,                   0,             0.91972,             0.93333,             0.92585,             0.60679,            0.027843,           0.0046483,                   0,            0.001882,            0.001882,            0.001882
                 125,             0.02247,           0.0075461,                   0,             0.92061,             0.93333,             0.92585,             0.60939,            0.027241,           0.0046499,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.023228,           0.0068553,                   0,             0.92056,             0.93333,             0.95567,              0.5986,            0.027818,           0.0046092,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.026093,           0.0079471,                   0,             0.91999,             0.93333,             0.95379,             0.60286,             0.02619,           0.0046226,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.023476,           0.0071272,                   0,              0.9189,             0.93333,             0.95567,             0.59824,            0.024892,           0.0046098,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.023658,            0.007204,                   0,             0.91979,             0.93333,             0.95379,             0.64693,            0.023907,           0.0046194,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.023055,           0.0083462,                   0,             0.92139,             0.93333,             0.95379,             0.62884,            0.025686,           0.0045679,                   0,            0.001486,            0.001486,            0.001486
                 131,             0.02246,           0.0079841,                   0,             0.91986,             0.93333,             0.95379,             0.63944,            0.024098,            0.004528,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.022589,           0.0071323,                   0,             0.91878,             0.93333,             0.95214,             0.67215,             0.02398,           0.0045082,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.023404,           0.0076527,                   0,             0.92104,             0.93333,             0.95214,             0.63769,            0.024639,           0.0044665,                   0,            0.001288,            0.001288,            0.001288
                 134,             0.02176,           0.0070506,                   0,             0.92281,             0.93333,             0.95138,             0.63224,            0.023763,           0.0044325,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.021842,           0.0077369,                   0,             0.92483,             0.93333,             0.95138,             0.60428,            0.023446,           0.0044313,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.020511,            0.007026,                   0,             0.92542,             0.93333,             0.95067,             0.62033,            0.024047,           0.0043981,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.021621,           0.0084506,                   0,             0.92652,             0.93333,             0.94999,             0.64936,            0.022378,            0.004391,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.023441,           0.0079563,                   0,             0.92652,             0.93333,             0.94999,             0.64936,            0.022378,            0.004391,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.020745,            0.006363,                   0,             0.92758,             0.93333,             0.95138,             0.63545,            0.022475,            0.004358,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.020692,           0.0076186,                   0,             0.92841,             0.93333,             0.94935,             0.62129,             0.02313,           0.0043219,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.021042,           0.0052654,                   0,             0.92939,             0.93333,             0.95283,             0.63359,            0.023127,           0.0042971,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.020552,           0.0069397,                   0,             0.92845,             0.93333,             0.95283,             0.62143,            0.023513,           0.0043279,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.023241,           0.0084105,                   0,             0.92889,             0.93333,             0.95341,             0.60838,            0.024171,           0.0042887,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.025348,           0.0062191,                   0,             0.92875,             0.93333,             0.95402,             0.61445,            0.024826,           0.0042609,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.018951,           0.0056555,                   0,             0.92925,             0.93333,             0.95402,             0.63143,             0.02441,            0.004266,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.021527,           0.0068531,                   0,             0.92916,             0.93333,             0.95466,             0.63101,            0.024056,           0.0042567,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.020863,           0.0064223,                   0,             0.92918,             0.93333,             0.95533,             0.63145,            0.023798,           0.0042586,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.019057,           0.0058454,                   0,             0.92905,             0.93333,             0.95466,             0.64385,            0.023434,            0.004262,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.018932,           0.0063185,                   0,             0.93169,             0.93333,             0.95605,             0.63662,             0.02335,           0.0042493,                   0,            0.000232,            0.000232,            0.000232
